period,inside_hours,outside_hours,total_hours,inside_share_pct,is_ban_month
2023-01,7.879722222222222,79.73138888888889,87.61111111111111,8.993975903614457,False
2023-02,24.01888888888889,178.3813888888889,202.40027777777777,11.867023678327186,False
2023-03,14.355833333333333,251.28305555555556,265.6388888888889,5.404266443584649,False
2023-04,5.828611111111112,65.57333333333334,71.40194444444445,8.163098577302984,False
2023-05,7.750277777777777,44.07527777777778,51.82555555555555,14.95454837810604,False
2023-06,7.878333333333333,823.6027777777778,831.4811111111111,0.9475059899803964,True
2023-07,15.365,232.575,247.94,6.197063805759458,True
2023-08,40.0475,28.6675,68.715,58.280579203958375,True
2023-09,30.42694444444444,142.23083333333332,172.65777777777777,17.622689713756177,False
2023-10,28.358888888888888,289.18666666666667,317.54555555555555,8.930652119905805,False
2023-11,31.662499999999998,179.7313888888889,211.39388888888888,14.977963727533384,False
2023-12,35.87694444444444,173.20111111111112,209.07805555555555,17.15959350641241,False
2024-01,8.6275,63.980555555555554,72.60805555555555,11.88229037947274,False
2024-02,10.072222222222223,65.40638888888888,75.4786111111111,13.344472127865512,False
2024-03,0.25472222222222224,178.8686111111111,179.12333333333333,0.1422049363877155,False
2024-04,15.948333333333334,81.30527777777777,97.25361111111111,16.398705560776094,False
2024-05,13.272222222222222,357.53444444444443,370.8066666666667,3.5792836039145883,False
2024-06,4.317222222222222,723.7997222222222,728.1169444444444,0.5929297834863982,True
2024-07,3.4683333333333333,843.5997222222222,847.0680555555556,0.4094515559388675,True
2024-08,18.880000000000003,40.98138888888889,59.86138888888889,31.539528818891796,True
2024-09,11.195555555555556,47.42444444444445,58.620000000000005,19.09852534212821,False
2024-10,2.2958333333333334,20.2675,22.563333333333333,10.175062786231349,False
2024-12,0.0,2.618333333333333,2.618333333333333,0.0,False
