period,outside_hours,inside_hours,total_hours,inside_share_pct,period_dt,is_ban_month
2023-01,79.73138888888889,7.879722222222222,87.61111111111111,8.993975903614457,2023-01-01,False
2023-02,178.3813888888889,24.01888888888889,202.40027777777777,11.867023678327186,2023-02-01,False
2023-03,251.28305555555556,14.355833333333333,265.6388888888889,5.404266443584649,2023-03-01,False
2023-04,65.57333333333334,5.828611111111112,71.40194444444445,8.163098577302984,2023-04-01,False
2023-05,44.07527777777778,7.750277777777777,51.82555555555555,14.95454837810604,2023-05-01,False
2023-06,823.6027777777778,7.878333333333333,831.4811111111111,0.9475059899803964,2023-06-01,True
2023-07,232.575,15.365,247.94,6.197063805759458,2023-07-01,True
2023-08,28.6675,40.0475,68.715,58.280579203958375,2023-08-01,True
2023-09,142.23083333333332,30.42694444444444,172.65777777777777,17.622689713756177,2023-09-01,False
2023-10,289.18666666666667,28.358888888888888,317.54555555555555,8.930652119905805,2023-10-01,False
2023-11,179.7313888888889,31.662499999999998,211.39388888888888,14.977963727533384,2023-11-01,False
2023-12,173.20111111111112,35.87694444444444,209.07805555555555,17.15959350641241,2023-12-01,False
2024-01,63.980555555555554,8.6275,72.60805555555555,11.88229037947274,2024-01-01,False
2024-02,65.40638888888888,10.072222222222223,75.4786111111111,13.344472127865512,2024-02-01,False
2024-03,178.8686111111111,0.25472222222222224,179.12333333333333,0.1422049363877155,2024-03-01,False
2024-04,81.30527777777777,15.948333333333334,97.25361111111111,16.398705560776094,2024-04-01,False
2024-05,357.53444444444443,13.272222222222222,370.8066666666667,3.5792836039145883,2024-05-01,False
2024-06,723.7997222222222,4.317222222222222,728.1169444444444,0.5929297834863982,2024-06-01,True
2024-07,843.5997222222222,3.4683333333333333,847.0680555555556,0.4094515559388675,2024-07-01,True
2024-08,40.98138888888889,18.880000000000003,59.86138888888889,31.539528818891796,2024-08-01,True
2024-09,47.42444444444445,11.195555555555556,58.620000000000005,19.09852534212821,2024-09-01,False
2024-10,20.2675,2.2958333333333334,22.563333333333333,10.175062786231349,2024-10-01,False
2024-12,2.618333333333333,0.0,2.618333333333333,0.0,2024-12-01,False
