scope,ban_inside_hours,ban_total_hours,ban_inside_share_pct,non_ban_inside_hours,non_ban_total_hours,non_ban_inside_share_pct,ban_to_non_ban_inside_share_ratio,compliance_index_pct
overall,89.95638888888888,2783.1825,3.232141222822754,247.825,2468.625,10.03898931591473,0.32195882684115085,67.80411731588491
2023,63.29083333333333,1148.136111111111,5.512485211538508,186.1586111111111,1589.5530555555554,11.711380784710448,0.47069472958604675,52.93052704139532
2024,26.665555555555557,1635.046388888889,1.6308745572458274,61.66638888888889,879.0719444444444,7.014942210203374,0.2324858150468706,76.75141849531293
