period,inside_hours,outside_hours,total_hours,inside_share_pct,is_ban_month
2023-01,26.910555555555554,60.70055555555555,87.61111111111111,30.715916296766007,False
2023-02,39.48916666666667,162.91111111111113,202.4002777777778,19.5104310627593,False
2023-03,103.86666666666666,161.7722222222222,265.63888888888886,39.100700616961205,False
2023-04,67.97611111111111,3.4258333333333333,71.40194444444444,95.20204476224194,True
2023-05,42.26638888888889,9.559166666666666,51.82555555555555,81.55511009154642,True
2023-06,61.840555555555554,769.6405555555556,831.4811111111111,7.437397522226068,True
2023-07,52.04111111111111,195.8988888888889,247.94,20.989397076353594,False
2023-08,59.25555555555556,9.459444444444443,68.715,86.23379983345056,False
2023-09,74.91416666666666,97.74361111111111,172.65777777777777,43.38881667009885,False
2023-10,79.72138888888888,237.82416666666663,317.5455555555555,25.105496674142994,False
2023-11,73.13861111111112,138.25527777777776,211.39388888888888,34.59826180195475,False
2023-12,90.08361111111111,118.99444444444444,209.07805555555555,43.08611483483707,False
2024-01,24.54138888888889,48.06666666666666,72.60805555555555,33.799815600503464,False
2024-02,11.394166666666667,64.08444444444444,75.4786111111111,15.095888091917137,False
2024-03,2.1258333333333335,176.9975,179.12333333333333,1.1867986675847182,False
2024-04,40.03527777777778,57.21833333333333,97.2536111111111,41.16585216772871,True
2024-05,37.763333333333335,333.0433333333333,370.8066666666666,10.184103126516964,True
2024-06,4.317222222222222,723.7997222222222,728.1169444444444,0.5929297834863982,True
2024-07,13.144166666666667,833.9238888888889,847.0680555555556,1.5517249860220466,False
2024-08,20.666944444444447,39.19444444444444,59.86138888888889,34.524665778813095,False
2024-09,16.25861111111111,42.36138888888889,58.620000000000005,27.735604079002233,False
2024-10,2.5477777777777777,20.015555555555554,22.563333333333333,11.291672822179544,False
2024-12,0.0,2.618333333333333,2.618333333333333,0.0,False
