lat,lon,hours
13.16,80.33000183105469,41.30527777777778
13.16,80.4000015258789,22.606666666666666
13.19,80.4000015258789,21.61722222222222
13.17,80.4000015258789,19.10361111111111
13.18,80.4000015258789,19.08611111111111
13.16,80.33999633789062,18.31722222222222
13.15,80.4000015258789,16.319166666666668
13.12,80.38999938964844,16.174166666666668
12.88,80.33000183105469,16.120555555555555
12.85,80.31999969482422,15.535833333333334
12.87,80.33000183105469,14.211666666666666
13.16,80.38999938964844,12.064444444444446
12.42,80.16999816894531,11.032777777777778
13.2,80.4000015258789,10.905555555555555
12.61,80.26000213623047,10.811666666666666
13.15,80.38999938964844,10.553333333333333
12.82,80.31999969482422,10.402222222222221
13.11,80.38999938964844,10.392777777777777
13.13,80.38999938964844,10.050555555555556
12.81,80.31999969482422,9.458333333333334
12.93,80.3499984741211,9.456944444444444
13.27,80.37999725341797,9.3075
13.14,80.33000183105469,9.278333333333334
13.14,80.38999938964844,9.233055555555556
13.0,80.3499984741211,8.949444444444444
